site-bay-shelf-position,switchname-port,ip
DNN3-A104-10-3,DNN3-A104C-27,10.32.100.92
DNN3-A104-10-4,DNN3-A104C-28,10.32.100.93
DNN3-A104-10-5,DNN3-A104C-29,10.32.100.94
DNN3-A104-10-6,DNN3-A104C-30,10.32.100.95
DNN3-A104-10-7,DNN3-A104C-31,10.32.100.96
DNN3-A104-10-8,DNN3-A104C-32,10.32.100.97
DNN3-A104-10-9,DNN3-A104C-33,10.32.100.98
DNN3-A104-1-1,DNN3-A104A-1,10.32.99.194
DNN3-A104-1-10,DNN3-A104A-10,10.32.99.203
DNN3-A104-11-1,DNN3-A104D-1,10.32.100.130
DNN3-A104-1-11,DNN3-A104A-11,10.32.99.204
DNN3-A104-11-10,DNN3-A104D-10,10.32.100.139
